Marca temporal,ID Único,Edad:,Género:,Nivel socioeconómico:,Grado de estudios:,"Si tu nivel de estudios es licenciatura, selecciona la carrera a la que perteneces (solo si eres FCC-BUAP):","Si tu nivel de estudios es licenciatura, selecciona el semestre al que perteneces:",Actualmente te encuentras:,Si actualmente trabajas. ¿En qué área trabajas?,Estado de origen:,Municipio de origen:,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? ,3. Piensa en una ocasión en la que perdiste algo o a alguien importante para ti. ¿Cómo viviste ese momento y qué cambió después de ello? ,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,5. Describe una situación en la que experimentaste algo que te resultó desagradable y quisiste evitar. ¿Cómo fue ese momento? ,6. Recuerda una ocasión en la que viste o viviste algo que te pareció totalmente inaceptable. ¿Cómo reaccionaste y qué pensaste al respecto? ,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? ,8. Describe una ocasión en la que te sentiste frustrado(a) porque no tomaron en cuenta tu opinión o esfuerzo. ¿Cómo reaccionaste ante esta situación y cómo la manejaste? ,9. Recuerda una ocasión en la que tuviste que enfrentarte a algo incierto o desconocido. ¿Cómo fue la experiencia y qué sentiste en ese momento? ,10. Describe un evento en el que sentiste que algo estaba fuera de tu control y no sabías qué hacer. ¿Cómo reaccionaste y qué pasó después? ,11. Piensa en un momento en el que ocurrió algo totalmente inesperado en tu vida. ¿Cómo fue y qué pasó después? ,12. Recuerda una ocasión en la que recibiste una noticia o viviste un evento que nunca imaginaste. ¿Cómo reaccionaste y qué impacto tuvo en ti?,Universidad a la que pertecenes:,"Si estudias en otra universidad o en una carrera diferente, por favor indica qué carrera estás cursando:"
03/12/25 23:03,ECOZ5F5S,29,Masculino,Medio,Maestría,,,Ambos,"Sector de la educación - Maestros, educadores, administradores educativos, etc.",Veracruz,Coscomatepec,"Me sentí realmente feliz, muy emocionado de haber conseguido eso que tanto anhelaba porque sabía que era el fruto de mi esfuerzo y dedicación, estaba completamente convencido de que el haber logrado mi sueño era la oportunidad que tanto esperaba y que me desempeñaría en mi trabajo con amor y pasión, el conseguir ese logro me hacía sentirme mejor persona, alguien que seguía creciendo y mejorando tanto personal como profesionalmente.","Recuerdo mucho la vez que en el día de mi cumpleaños una chica que realmente no me lo esperaba me llevó un pastel de cumpleaños, un lindo detalle porque si fue sorpresa, llegó me abrazó y después de eso me obsequió también una esclava de plata que ahora uso con un valor sentimental grande, mi reacción fue de alegría, asombro y emoción por recibir todo eso de alguien que me hacía sentir especial y no imaginé que pensaría en mí en esa fecha.","Ese momento fue muy difícil, una gran tristeza me abordaba y me sentía muy apagado, no tenía ganas de hacer nada, me aislaba mucho, con frecuencia quería estar solo, me la pasaba de mal humor y daba malas contestaciones a las personas que me hablaban, sobre todo quienes eran cercanas a mí y todo esto cambió mucho mi relación social, no era eficiente en la escuela ni el trabajo, me sentía muy desanimado.","Recuerdo mucho una ocasión en la que tenía trabajo del doctorado y aparte todo el día lleno para dar clases pero desde el inicio se descompuso el coche, el mecánico me quería cobrar muchísimo dinero, llegué tarde a la escuela y me atrasé en entregar algunas actividades. Me sentí realmente enojado, frustrado y desesperado de que no me habían salido las cosas como yo quería, a la vez era tristeza pero acompañada de decepción y enojo.","Una ocasión me sentí muy incómodo porque una chica era muy insistente en que quería llamar mi atención y pasar tiempo conmigo, yo me encontraba realizando algunas actividades y ella era muy insistente en estar ahí y querer que yo prestara atención y le correspondiera en otros sentidos, me sentí raro porque no sabía cómo sacarme de ella y sobre todo no quería ser grosero pero me estaba sintiendo muy extraño y ya no quería entablar diálogo en ese momento.","Cuando han cometido alguna injusticia hacia alguien, reaccioné de manera impulsiva, enojándome y queriendo defender a aquella persona a la habían tratado mal, me sentía impotente de no poder hacer algo más para apoyarla, lo que pensaba en esos momentos es cómo existía gente tan desagradable y que se aprovechara de la inocencia de los demás o sobre todo que fuera tan egoísta y querer dañar a otros.","Ocurrió en mi trabajo, tuve un rose con la secretaria académica, yo siempre he tenido tiempo completo para dar clases y hace unos meses me habían quitado materias, yo redacté un correo pidiendo explicaciones pero se lo tomaron a mal, me citaron a una reunión, se portó muy déspota conmigo y hasta me dijo que por mi correo podía meter una demanda con la abogada general, en esa ocasión yo reaccioné de una manera como temerosa porque realmente primero sentí como miedo y asombro y después una impotencia de no poder decir todo lo que pensaba tal y como era porque sabía que saldría perdiendo y mi palabra no tenía ninguna validez contra la de ella y yo por ser alguien que estaba en menor posición no podía defender mi postura, me sentí impotente, enojado y con ganas de llorar por no poder expresarme.","Me sentí muy molesto porque yo había trabajado duro en lo que me habían encomendado y considero que mi opinión era importante, pero a veces por la posición laboral en la que nos encontramos y como yo estoy más abajo se da uno cuenta que todo es algo injusto, de momento tenía frustración y enojo pero después tuve que manejarlo siendo ético, tratando de mantener la calma, cuando participaba expresando algo trataba de ser lo más profesional posible y que se notaran mis conocimientos sobre el tema.","La experiencia fue desagradable porque había llegado a un lugar donde no conocía a nadie, estaba completamente solo y sobre todo me desanimaba mucho el no encontrar buena comida, sabía que era por temas de trabajo pero me sentía raro, incómodo, triste y con mucha incertidumbre, muchas veces si me pregunté que hacía en ese lugar. Me sentía extraño porque quería dejar todo y regresar a la vida que tenía pero también era una prueba de que debía ser fuerte y crecer profesionalmente.","Fue una ocasión que tenía que presentar mis avances del último semestre de maestría y un día antes me habían informado en el trabajo que tenía que cambiar de sede, al otro día desde temprano viajábamos y yo me sentía con una gran presión porque no sabía si a las 10 am estaría a tiempo para exponer y no perder mi calificación del semestre, de momento si reaccioné con bastante estrés, me sentía ansioso y sobre todo preocupado porque no terminaba mi trabajo y aparte sabía que era una experiencia nueva donde llegaría a un lugar desconocido y con personas completamente desconocidas, fue una gran sensación de incertidumbre y preocupación.","Recuerdo mucho cuando perdí a un ser querido, durante el día todo había estado bien y por la noche me dan la noticia que mi abuela había fallecido, yo me puse a llorar, a gritar y sobre todo estaba muy alterado porque no creía lo que había pasado, traté de hablar con mis familiares y no me respondían, fue una gran impotencia en ese momento el no saber nada o que me dieran información, hasta que mi primo me respondió y después de saber las cosas tratar de poner en calma mis ideas y buscar que hacer en esos momentos, fue algo extraño con un sentimiento de desesperación.","Recuerdo mucho la vez que recibí mi aceptación como docente para dar clases, primero reaccioné muy asombrado y sobre todo emocionado porque sabía que había conseguido algo que realmente había esperado por mucho tiempo, tuvo un impacto positivo en mí porque desde ese momento m enfoqué más y me sentía más feliz y asombrado por todo lo que se venía en días próximos, sabía que debía dar lo mejor de mí y trabajar duro en todo lo que se me requiriera.",Benemérita Universidad Autónoma de Puebla,
03/12/25 23:03,M4QDTQFK,22,Femenino,Medio,Licenciatura,Ingeniería en Tecnologías de la Información,8,Ambos,"Tecnología e informática - Desarrolladores de software, técnicos de IT, analistas de sistemas, etc.",Puebla,Puebla ,"Me contrataron en una empresa como desarrollador de software, me senti muy orgullosa y vi mis capacidades que tengo para brindar ya que anteriormente me sentía incapaz, pero con el paso del tiempo con disciplina he logrado avanzar tanto en conocimiento como en confianza en mi misma. ",En mi cumpleaños casi no suelo festejarlo pero el año pasado fue muy lindo ya que ni familia me organizó algo muy lindo y me sentí afortunada y muy contenta. ,"Fue una ruptura amorosa y es una de mis etapas muy difíciles que vivi debido a que en la Uni me fue muy mal en dos semestres que fue todo el proceso de asimilación, bae demasiado de peso, solo quería dormir todo el día y tuvo un impacta negativo en mi vida pero con el tiempo todo quedo atrás y acepté la realidad y continue con mi vida. ","Me suele pasar cuando algo en la universidad ya sean tareas o trabajos, o ahora que estoy trabajando cuando me dejan alguna cosa sino me sale después de varios intentos me siento incapaz, me frusto demasiado y siento que mi nivel de estrés se eleva demasiado. ","En segundo semestre reprobé una materia, la relación con el profesor era muy mala y al final del los meses ne di por vencida y deje todo, hasta la fecha me sigo arrepentíendo el no haber intentado salvar la materia ","Me ha tocado ver injusticias en las aulas de clase donde chicos que no merecen una calificación alta la obtienen y quienes se esfuerzan mucho obtienen una menor, me molesta demasiado pero ni puedo hacer nada al respecto. Pero pienso que ni deberíamos guardarnos las cosas por miedo a que nos puede pasar. ","Un profesor de la universidad me hacia sentir incapaz, que solo los hombres tenían la capacidad en la carrera y en diversas ocasiones me humilló me sentía mal, enojada, triste y frustrada al no poder hacer o decir algo ","Cuando recién entre a la universidad solia hacer equipos con gente que no conocía y en una ocasión estuve con un chico trabajando y teníamos conflicto porque no tomaba en cuenta mi opinión solo quería hacer laa cosas a su manera y eso me enojaba, entonces un dia le dije que debia hacer pero borro todo lo que hice yo y el hizo lo que quiso. Me enoje, me frustre y al final me sentí triste porque sacamos 5 en esa actividad ","Cuando aprendí a manejar, el primer dia me metieron a unas calles muy transitadas y llegue a un bloqueo absoluto, solo empecé a sudar, y me estréses por miedo a hacer algo mal. ",En una ocasión trabajado en equipos intentaba trabajar de la mano de todos pero ciertas personas nos limitaban por ciertos conflictos eso freno que trabajáramos colaborativamente y aunque yo intente que saliera bien no estuvo en mis manos cambiar el ambiente. Me enoje pero al final salieron las cosas no muy bien pero si bien ,"De pronto me propusieron un trabajo, lo acepté y actualmente estoy trabajando en una empresa. ","La situación fue que me enteré que abusaron de alguien muy cercana a mi y senti tanta impotencia, solo llore por dias intentando asimilar las situaciones y el yo no poder hacer nada me afecto mucho pero al final del dia solo es continuar. ",Benemérita Universidad Autónoma de Puebla,
03/12/25 23:14,5QBDZZE1,21,Masculino,Medio,Licenciatura,Ingeniería en Tecnologías de la Información,7,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Oaxaca,Santa María del Tule,Satisfacción y que con trabajo se logra todo ,Me hizo saber que aún hay gente que es agradecida,Tristeza y que llegue a ser más responsable,Fue una cadena de incidentes y me sentí desesperado,Repugnante no pude ni pesarlo después ,Con enojo y trate de analizar bien la situación ,Me culparon y llore,No dándole esa importancia y seguí trabajando ,Miedo además de que era algo nuevo ,Llore y pude manejarlo poco a poco ,Falleció mi mascota. Y tuve mucha tristeza ,Mucha impresión ,Benemérita Universidad Autónoma de Puebla,
03/12/25 23:19,2TPBXZ8F,24,Masculino,Medio,Licenciatura,Ingeniería en Ciencias de la Computación,9,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Puebla ,"Gratificante, aprendí mucho y felicidad",Agradecido aunque un poco indiferente también ,"Frustración, enojó,tristeza lo viví solo para poder pensar y analizar bien mis sentimientos","Mal, pero después respire y seguí intentado vinel otro lado de la moneda",Incómodo pero tenía que afrontarlo de la mejor manera ,Actúe y compartí lo que veía que estaba mal y pensé que la gente debería tener más conciencia ,Tranquilo me enoje un poco pero expresé mi sentimientos y opinión al respecto no lo deje pasar,No le di importancia y lo deje de lado pero tranquilo guarde mi energía para otras cosas,"Emocionante, adrenalina y mucha curiosidad ",Relajarme y afrontarlo y dejar que las cosas sucedan como tienen que ser cuando no puedo actuar sobre ellas de cierta forma pienso que en lo único que tenemos control es de nuestros sentimientos y como nos afectan,Sorpresa un poco de ansiedad pero después todo normal solo cambio un poco el como persivo algunas cosas,"Impactado aveces se piensa que las cosas no van a ocurrir y pasan,me movió mucho y me hizo revalorar la vida y agradecer muchas cosas también dejar de pensar demasiado y disfrutar los momentos con quienes quieres pero también me enseñó que un día puede cambiarlo todo",Benemérita Universidad Autónoma de Puebla,
03/12/25 23:20,6MXXTYFP,24,Masculino,Bajo,Licenciatura,Ingeniería en Ciencias de la Computación,8,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Tecamachalco,"Me sentí feliz y realizado, impacto mi vida haciéndome una persona más disciplinada ",Me sentí profundamente feliz aunque no sabía como externarlo,"Cambio mi manera de ver la vida, me sentí completamente roto",Me sentí frustrado pero aún así seguí haciendo lo que tenia que hacer.,fue incomodo ,me sentí decepcionado ,me sentí menos preciado y tracionado,Cuando mi familia no toma en cuenta mis esfuerzos y creen que existo solo para servirles.la maneje solo tragandome lo que quería decir ,me sentí con miedo pero a la vez con ganas de hacer algo nuevo,la mayoría de las veces sé que las cosas están fuera de mi control ,Pues no recuerdo ,No recuerdo ninguno ,Benemérita Universidad Autónoma de Puebla,
03/12/25 23:21,V3HTQCVL,20,Masculino,Medio,Licenciatura,Ingeniería en Tecnologías de la Información,6,Estudiando,Otro - Para quienes no encajen en las categorías anteriores.,Puebla,Atlixco ,Sentí mucha satisfacción y casi todo el tiempo andaba feliz,"Mis amigos me regalaron en mi cumpleaños un juego que queria desde hace mucho, me sentí sorprendido porque casi nadie me hace ese tipo de detalles ",Me sentí triste y como si algo me faltaba ,Trate de ver el lado positivo e intenté no sentirme mal," Andaba caminando y me llegó un olor muy fuerte de alguien, me enoje y me aleje","Andaba en el stu y habían unos vatos diciendo cosas vulgares donde uno tenia marcado su aparato reproductor, fue demasiado incómodo y me enoje","No considerarme aunque sabia que hacer y me echaron la culpa, quize vengarme ","Muchas veces en los trabajos en equipo no escuchaban mis respuestas o que yo hacía todos los trabajos, me enojaba demasiado pero no lo decía ","Muchas veces es con experiencias que no había vivido, me dio mucho miedo pero lo supere","Sentía que tenía que hacer algo, todo salió bien pero sentí que tuve que hacer algo",Me saque de onda y me acordé casi todo el día de eso,No sabía cómo reaccionar pero después vi como reaccionar ,Benemérita Universidad Autónoma de Puebla,
03/12/25 23:25,7DMIUGHK,20,Masculino,Medio,Licenciatura,Ingeniería en Tecnologías de la Información,6,Estudiando,"Autoempleo - Emprendedores, freelance, etc.",Puebla,Puebla ,"Aprobar el examen de prepas BUAP, fue algo para lo que me preparé bastante y al final todo salió muy bien, y siento que hoy estoy aquí gracias a ese esfuerzo de la preparatoria ","Hay varios casos, pero el más reciente, traía la moto de un amigo que se venía descomponiendo, y de plano en un momento ya no funcionó, así que tocó empujar a las 12 de la noche por la zona de la Pepsi, pero las motos que pasaban siempre se ofrecían ayudar y me fueron dando así como empujones, y así sin conocerme ni nada, me gustó mucho lo solidaria que puede ser la gente","Cuando falleció mi perrito ni hace mucho, prácticamente desde que tengo memoria el siempre estaba en patio, fue muy duro que se fuera, unos 3 días caí en depresión pq sentía un vacío enorme el patio, pero siento que la vida cada vez me enseña más a vivir un día a la vez y valorar cada momento con las personas y/o perritos (mascotas) que nos rodean","Hubo una semana en especial (vendo y compro por Facebook) que de plano no había nada de movimiento y yo debía pues bastante dinero, y me hizo sentir muy frustrado",.,"Fajar en el lago, me ha tocado ver a chavos haciendo eso en el lago, y pues no somos santos vdd, pero si me hace un poco de mal gusto a la vista de todos, pq estaban mero en el caminito, no estaban ni escondidos ni nada, si me sentí muy incómodo ","En la primaria más que nada, yo no soy muy bueno tocando los intrumentos, sin embargo le echaba ganas, pero aún así la profesora en vez de darme más guía simplemente me mandaba al fondo donde no me viera y realmente panza a esa materia ",No me ha sucedido sentirme frustrado,"Cuando uno se cambia de escuela, cuando vamos a un nuevo trabajo, cuando vamos a un nuevo equipo, todo y/o todos son desconocidos, pero creo que todo depende de con qué actitud vayamos ",No he tenido un caso así,"Cuando falleció mi abuelo, me hizo madurar más rápido y a ver las cosas de otra forma","Cuandi falleció mi abuelo, me salí de la casa y fui a un parque a llorar y regresé cuando me calme, pero desde que se fue mi abuelo siento que he crecido bastante como persona",Benemérita Universidad Autónoma de Puebla,
03/12/25 23:26,SN9KP3O4,23,Masculino,Bajo,Licenciatura,Ingeniería en Ciencias de la Computación,9,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Cuautinchan,Pues fue satisfactoria,Alegre por qué nadie creía en mi,Triste ya que era una fue uno de los pilares de mi vida,Frustración ya que tenía todo planeado y no fue nada de lo que pense,Muy incómodo y con ganas de ya no volver a experimentar ,Un poco enojado pero después tuve que calmarme,Ya la vida se lo cobrará más adelante ,Pues mal en el momento pero después pensé que a lo mejor no fue bien planeada,Un poco de temor,Confundido ya que nunca había experimentado nada de eso,Pues fue como impresionante pero después fue asimilando ,Pues alegre a la vez ya que era buena y pues después emoción ,Benemérita Universidad Autónoma de Puebla,
03/12/25 23:26,CZJV6BKG,22,Masculino,Medio,Licenciatura,Licenciatura en Ciencias de la Computación,9,Estudiando,Otro - Para quienes no encajen en las categorías anteriores.,Veracruz,Cosamaloapan,"Mucha felicidad, con ganas de lograr aún más metas.","Con sorpresa, y feliz, emocionado.","Muy mal, fue una persona cercana, me sentía bastante triste, y tuve varias crisis.","Honestamente un día así me hace decaer un poco, actualmente sé que un día malo no significa que siempre me vaya a ir mal, pero antes era duro para mí.","Incómodo, pero decidí afrontar el momento.","Con rechazo a esa situación, mal humor.","Sentí mucha impotencia, pero me mantuve callado.","Pasa a menudo con mi familia, actualmente lo manejo evitando la situación.","Muchos nervios, fue una experiencia de miedo y nervios.","Con impotencia, pero aprendí a aceptar que hay cosas que no se pueden controlar.","Sorpresivo, pero todo fue bien después.","Una situación fea, con mucho asombro, tristeza y me sentí triste durante muchos meses intentando afrontar la noticia o más bien, asimilarla.",Benemérita Universidad Autónoma de Puebla,
03/12/25 23:28,0AU8J5MJ,21,Masculino,Medio,Licenciatura,Ingeniería en Ciencias de la Computación,7,Ambos,"Autoempleo - Emprendedores, freelance, etc.",Puebla,Puebla,"Muy agradeble, la experiencia fue de mucha paz y sentir que valio la pena cada cosa que hice para lograrlo, el impacto fue bastante, pues abrio muchas puertas en mi vida y me dio un campo mas amplio en este caso de mi aprendizaje.","Me senti valorado, apreciado y que soy importante en la vida de esa persona. Reaccione con mucha felicidad y gusto por saber que alguien penso en mi","Muy triste, la forma de vivirlo fue muy serio, y con muchas preguntas en mi cabeza, mucho estres y sentimientos, pero nada malo, el cambio mas notorio fue en la mentalidad, te hace resiliente, un poco mas fuerte mentalmente, y mas comprensivo e inteligente en situaciones de perdidas o fracasos, solo comprendes que aveces no puedes cambiar lo que esta hecho","Al ser estudiante y trabajar al mismo tiempo, reprobé varias materias, me sentí desanimado, frustrado, culpable, y demasiado estresado, no me habia pasado antes","Muy incomodo, quería cambiar el tema o salir de ese momento pues no es algo que vaya con mis principios, incluso tratar de hablar con quienes estaban ahi de lo desagradable que es lo que hacian",Mucho enojo y frustración ,"En un antiguo trabajo habia un compañero que no beneficiaba a la empresa pero lograba convencer de que era bueno, a mi me trataron mal por no hablar con el, e incluso creyeron que yo intentaba ponerle el pie, me senti muy disgustado al ser juzgado injustamente sabiendo algo que los demas no, al mismo tiempo en una jaula por sentirme ser el unico en conocer sus secretos y que me toman como loco.","Me dolio profundamente, mi reaccion fue tranquila y en silencio, solo asumí que no me tomaron en cuenta, por tal motivo la maneje dejando de hacer cosas y volviéndome un poco mas indiferente en algunos aspectos, pues aquellas cosas que hacia de mas no contaban para algunas personas ","Era un estado de alerta maximo, como si los instintos de los humanos de hace miles de años se activaran en mi, sentí adrenalina, suspenso y mas cosas, miedo no, pues no habia notado alguna de las cosas que me dan miedo","Mi reacción fue simplemente asumir lo que estaba sucediendo, pensar con la cabeza fría y que la mejor decisión que podía tomar es prepararme para lo que viene después, pues lo de ese momento no se podía modificar.","No lo podia creer, era un momento donde tenia mucha incertidumbre, prácticamente congelado ","Recuerdo la pandemia, mi reaccion fue de mucho miedo, al saber que estábamos expuestos, mucha preocupación, estrés y muchos pensamientos, el impacto que tuvo en mi fue desarrollar un poco mas de control mental, de pensar las cosas mas veces de lo normal, de analizar las situaciones con mas seriedad, y de ser consciente con las personas de nuestra sociedad ",Benemérita Universidad Autónoma de Puebla,
